Problem,Feedback,n,Block,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,bRate,bRate_std,EV_A,EV_B,EV_diff
67,True,15,4,50,0.01,15,25,0.6,-2,1,2,False,1,0.3733333333333333,0.4131182235954578,15.35,14.2,-1.1500000000000004
68,True,18,5,56,0.1,5,44,0.25,1,0,1,False,-1,0.5444444444444445,0.4217920064818988,10.100000000000001,11.75,1.6499999999999986
69,False,16,1,44,0.5,0,22,1.0,22,0,1,False,0,0.7,0.3723797345005049,22.0,22.0,0.0
69,True,15,4,44,0.5,0,22,1.0,22,0,1,False,0,0.5466666666666666,0.3502380143083653,22.0,22.0,0.0
70,True,16,3,11,1.0,11,9,0.95,7,1,8,False,0,0.2125,0.2777888886666756,11.0,8.899999999999999,-2.1000000000000014
71,True,16,3,18,1.0,18,24,0.8,-16,0,1,False,0,0.2875,0.3344149119482164,18.0,16.000000000000004,-1.9999999999999964
72,True,16,4,24,1.0,24,49,0.5,-5,0,1,False,0,0.45,0.3687817782917155,24.0,22.0,-2.0
74,True,16,4,31,0.05,-5,97,0.2,-32,0,1,True,0,0.45,0.3540244812627134,-3.2,-6.199999999999999,-2.999999999999999
78,True,16,4,55,0.25,-1,116,0.25,-23,1,8,False,1,0.5625,0.3947573094109004,13.0,11.75,-1.25
79,False,16,1,13,1.0,13,12,0.99,-31,0,1,True,0,0.1875,0.2680174123696693,13.0,11.569999999999999,-1.4300000000000015
79,True,16,5,13,1.0,13,12,0.99,-31,0,1,True,0,0.125,0.2816617356570348,13.0,11.569999999999999,-1.4300000000000015
83,False,16,1,23,1.0,23,50,0.2,16,1,4,True,0,0.85,0.2476556749467561,23.0,22.8,-0.1999999999999993
88,False,16,1,20,1.0,20,52,0.2,16,0,1,False,0,0.75,0.2683281572999748,20.0,23.200000000000003,3.200000000000003
89,True,16,2,11,1.0,11,35,0.25,1,0,1,False,0,0.4125,0.3537890143385838,11.0,9.5,-1.5
91,False,16,1,-8,0.99,-40,53,0.1,-15,1,8,False,0,0.7124999999999999,0.3344149119482165,-8.32,-8.2,0.120000000000001
92,False,16,1,14,1.0,14,31,0.5,1,0,1,False,0,0.7,0.3183289703016886,14.0,16.0,2.0
92,True,15,4,14,1.0,14,31,0.5,1,0,1,False,0,0.6933333333333334,0.3614784456460256,14.0,16.0,2.0
94,False,16,1,6,1.0,6,51,0.4,-25,1,6,True,0,0.55,0.409878030638384,6.0,5.400000000000002,-0.5999999999999979
94,True,16,5,6,1.0,6,51,0.4,-25,1,6,True,0,0.5749999999999998,0.3568379650952703,6.0,5.400000000000002,-0.5999999999999979
95,True,16,2,6,1.0,6,13,0.4,1,0,1,False,0,0.475,0.3255764119219941,6.0,5.8,-0.20000000000000018
96,True,18,2,24,1.0,24,33,0.75,-6,0,1,False,0,0.5555555555555556,0.4032547322536553,24.0,23.25,-0.75
99,True,17,2,19,1.0,19,19,0.99,5,1,4,False,0,0.4352941176470588,0.431481715242066,19.0,18.86,-0.14000000000000057
101,True,16,5,6,0.1,0,17,0.5,-10,0,1,False,-1,0.6749999999999999,0.3492849839314596,0.6000000000000001,3.5,2.9
102,False,16,1,18,0.99,-17,22,0.95,-17,0,1,False,0,0.7125,0.3649200825751669,17.65,20.049999999999997,2.3999999999999986
103,True,18,3,16,1.0,16,25,0.25,14,1,8,True,0,0.8222222222222223,0.2462795053820797,16.0,16.75,0.75
107,True,17,3,-8,1.0,-8,11,0.01,-6,0,1,False,0,0.8941176470588235,0.2014652210534554,-8.0,-5.829999999999999,2.170000000000001
108,False,16,1,63,0.25,3,19,0.8,12,0,1,False,-1,0.4875,0.4379878232706171,18.0,17.6,-0.3999999999999986
108,True,15,4,63,0.25,3,19,0.8,12,0,1,False,-1,0.3733333333333333,0.4131182235954578,18.0,17.6,-0.3999999999999986
109,False,16,1,16,0.01,4,58,0.2,-9,0,1,False,0,0.275,0.3991657967979387,4.12,4.400000000000001,0.28000000000000114
111,True,17,2,25,0.01,-3,45,0.1,-5,1,2,False,1,0.5882352941176472,0.3966773766885005,-2.7199999999999998,0.0,2.7199999999999998
114,False,16,1,11,1.0,11,23,0.4,4,3,3,True,0,0.6624999999999999,0.4112987559751022,11.0,11.600000000000001,0.6000000000000014
114,True,17,2,11,1.0,11,23,0.4,4,3,3,True,0,0.5411764705882353,0.3857765278134023,11.0,11.600000000000001,0.6000000000000014
116,False,33,1,6,1.0,6,77,0.01,2,1,2,False,0,0.5333333333333332,0.3796928583298173,6.0,2.75,-3.25
116,True,16,4,6,1.0,6,77,0.01,2,1,2,False,0,0.3375,0.4047633053197057,6.0,2.75,-3.25
119,False,16,1,31,0.4,4,15,1.0,15,3,6,False,0,0.425,0.4187282332651254,14.8,15.0,0.1999999999999993
119,True,15,5,31,0.4,4,15,1.0,15,3,6,False,0,0.5333333333333333,0.4386125310350269,14.8,15.0,0.1999999999999993
123,True,16,2,-2,1.0,-2,-1,0.75,-4,0,1,False,0,0.7625,0.2753785273643051,-2.0,-1.75,0.25
124,False,16,1,38,0.05,3,24,0.6,-22,3,2,True,0,0.3125000000000001,0.3930648801406709,4.75,5.599999999999998,0.8499999999999979
124,True,15,3,38,0.05,3,24,0.6,-22,3,2,True,0,0.4,0.3927922024247863,4.75,5.599999999999998,0.8499999999999979
126,False,16,1,7,1.0,7,22,0.01,9,1,8,False,0,0.7374999999999999,0.3774917217635375,7.0,9.13,2.130000000000001
126,True,15,5,7,1.0,7,22,0.01,9,1,8,False,0,0.8933333333333333,0.1830950832868254,7.0,9.13,2.130000000000001
128,False,16,1,21,0.6,-11,20,0.75,-23,3,4,False,0,0.575,0.3991657967979388,8.2,9.25,1.0500000000000007
128,True,15,3,21,0.6,-11,20,0.75,-23,3,4,False,0,0.7733333333333334,0.3104528182847634,8.2,9.25,1.0500000000000007
129,True,18,5,-4,1.0,-4,43,0.5,-48,1,4,False,0,0.7777777777777778,0.3422341055571988,-4.0,-2.5,1.5
131,False,16,1,98,0.1,-6,4,1.0,4,1,2,False,0,0.65,0.4647580015448901,4.4,4.0,-0.40000000000000036
131,True,16,2,98,0.1,-6,4,1.0,4,1,2,False,0,0.7625000000000001,0.2941088233970548,4.4,4.0,-0.40000000000000036
132,True,18,4,22,0.6,0,16,0.6,12,2,5,True,1,0.6999999999999998,0.3235828832817662,13.2,14.4,1.200000000000001
134,True,16,3,10,1.0,10,42,0.25,-5,2,7,True,0,0.8125000000000001,0.2680174123696692,10.0,6.75,-3.25
135,False,16,1,21,1.0,21,90,0.1,16,0,1,False,0,0.5999999999999999,0.4066120181860508,21.0,23.4,2.3999999999999986
137,False,16,1,2,0.25,-10,35,0.01,-10,2,7,False,0,0.6124999999999999,0.4161329915623931,-7.0,-9.55,-2.5500000000000007
137,True,16,2,2,0.25,-10,35,0.01,-10,2,7,False,0,0.45,0.4472135954999579,-7.0,-9.55,-2.5500000000000007
138,False,16,1,-9,0.8,-15,-10,1.0,-10,1,4,False,0,0.4,0.4258325179379016,-10.2,-10.0,0.1999999999999993
138,True,15,5,-9,0.8,-15,-10,1.0,-10,1,4,False,0,0.24,0.3042555317022659,-10.2,-10.0,0.1999999999999993
142,True,17,2,44,0.4,14,26,1.0,26,0,1,False,0,0.4,0.3605551275463989,26.0,26.0,0.0
145,True,17,3,8,1.0,8,11,0.9,7,0,1,False,0,0.7882352941176469,0.3199264621385211,8.0,10.6,2.5999999999999996
147,False,16,1,-2,1.0,-2,-3,0.75,-6,0,1,False,0,0.2125,0.3304037933599835,-2.0,-3.75,-1.75
150,True,31,2,22,1.0,22,23,0.2,20,2,4,False,0,0.535483870967742,0.4045972376712213,22.0,20.6,-1.3999999999999986
155,True,16,3,63,0.6,-29,32,0.75,22,1,8,False,0,0.5625,0.3117156824201609,26.199999999999996,29.5,3.3000000000000043
156,False,16,1,-1,0.9,-25,1,0.4,-7,0,1,False,0,0.8124999999999999,0.3138470965295044,-3.3999999999999995,-3.8000000000000003,-0.4000000000000008
157,False,16,1,23,1.0,23,89,0.5,-40,0,1,False,0,0.275,0.2516611478423583,23.0,24.5,1.5
159,True,16,2,0,1.0,0,3,0.9,-13,0,1,False,0,0.75,0.3386246693120078,0.0,1.4000000000000004,1.4000000000000004
161,False,31,1,29,0.95,2,38,0.4,25,2,4,True,1,0.5741935483870969,0.405764908894698,27.65,30.200000000000003,2.5500000000000043
161,True,15,4,29,0.95,2,38,0.4,25,2,4,True,1,0.8599999999999999,0.1764733893335115,27.65,30.200000000000003,2.5500000000000043
165,True,16,2,-1,1.0,-1,23,0.05,-3,1,6,False,0,0.525,0.3642343567906062,-1.0,-1.6999999999999995,-0.6999999999999995
168,True,17,4,-1,0.2,-2,-2,1.0,-2,1,8,False,0,0.5411764705882353,0.4886957431897322,-1.8,-2.0,-0.19999999999999996
170,True,18,4,30,1.0,30,40,0.75,4,0,1,True,0,0.5666666666666667,0.344707889976085,30.0,31.0,1.0
171,False,16,1,40,0.5,18,29,1.0,29,1,4,False,0,0.2875,0.3180670788790734,29.0,29.0,0.0
172,False,16,1,-7,1.0,-7,24,0.5,-32,0,1,False,0,0.7,0.4,-7.0,-4.0,3.0
172,True,15,2,-7,1.0,-7,24,0.5,-32,0,1,False,0,0.7066666666666667,0.3614784456460255,-7.0,-4.0,3.0
173,False,16,1,18,0.75,-19,78,0.2,-6,1,6,False,-1,0.6499999999999999,0.3055050463303893,8.75,10.8,2.0500000000000007
175,True,16,3,-4,1.0,-4,27,0.05,-8,0,1,False,0,0.2375,0.3364025366531392,-4.0,-6.25,-2.25
176,True,16,4,24,0.5,22,23,1.0,23,1,4,False,0,0.25,0.322490309931942,23.0,23.0,0.0
177,True,16,4,21,0.75,21,115,0.4,-45,0,1,True,0,0.1125,0.2187083293643233,21.0,19.0,-2.0
178,True,18,5,13,1.0,13,14,0.95,11,0,1,True,0,0.5333333333333333,0.4058397249567139,13.0,13.85,0.8499999999999996
179,False,16,1,3,1.0,3,5,0.9,-39,3,4,False,0,0.275,0.3255764119219941,3.0,0.600000000000001,-2.399999999999999
182,False,16,1,27,0.8,1,22,0.8,5,0,1,False,1,0.3375000000000001,0.2604483314082341,21.8,18.6,-3.1999999999999993
182,True,15,5,27,0.8,1,22,0.8,5,0,1,False,1,0.1733333333333333,0.2120197654757238,21.8,18.6,-3.1999999999999993
183,True,16,5,1,1.0,1,59,0.2,-14,0,1,False,0,0.2375,0.2446085307860977,1.0,0.5999999999999996,-0.40000000000000036
186,False,16,1,67,0.05,15,26,0.5,12,1,2,True,0,0.5874999999999999,0.3757215280851852,17.6,19.0,1.3999999999999986
186,True,15,5,67,0.05,15,26,0.5,12,1,2,True,0,0.64,0.2848558532711889,17.6,19.0,1.3999999999999986
190,True,16,4,5,0.75,5,41,0.4,-14,0,1,True,0,0.375,0.2516611478423583,5.0,8.000000000000002,3.0000000000000018
192,False,17,1,28,0.01,2,14,0.1,-2,0,1,False,0,0.2352941176470588,0.3334313581357268,2.26,-0.3999999999999999,-2.6599999999999997
193,False,17,1,10,1.0,10,30,0.5,-16,0,1,True,0,0.3058823529411765,0.3325480947082957,10.0,7.0,-3.0
193,True,15,2,10,1.0,10,30,0.5,-16,0,1,True,0,0.28,0.3447566429485338,10.0,7.0,-3.0
197,False,17,1,24,1.0,24,79,0.1,15,2,4,True,0,0.8235294117647058,0.1855040827202527,24.0,21.4,-2.6000000000000014
197,True,16,4,24,1.0,24,79,0.1,15,2,4,True,0,0.65,0.2875181153713043,24.0,21.4,-2.6000000000000014
198,True,17,2,17,0.8,12,56,0.4,-14,3,2,False,0,0.4,0.3,16.0,14.000000000000002,-1.9999999999999982
199,True,16,4,18,1.0,18,25,0.9,-26,1,4,False,0,0.5249999999999999,0.3991657967979388,18.0,19.9,1.8999999999999986
201,True,16,5,-2,1.0,-2,18,0.2,-9,3,3,True,0,0.6874999999999999,0.3095695936834452,-2.0,-3.6,-1.6
205,True,16,2,27,0.4,17,21,1.0,21,0,1,False,0,0.625,0.3568379650952703,21.0,21.0,0.0
206,True,16,5,7,0.6,-6,84,0.25,-27,0,1,False,0,0.5375,0.3480900266693469,1.7999999999999998,0.75,-1.0499999999999998
207,True,18,3,16,1.0,16,50,0.2,4,0,1,False,0,0.4666666666666667,0.3564531154716027,16.0,13.2,-2.8000000000000007
211,True,16,5,72,0.4,-5,59,0.4,3,1,6,True,-1,0.6375,0.284897642437888,25.8,25.400000000000002,-0.3999999999999986
214,False,16,1,24,1.0,24,24,0.95,-15,2,7,False,0,0.4625,0.4425306015783918,24.0,22.049999999999997,-1.9500000000000028
214,True,15,3,24,1.0,24,24,0.95,-15,2,7,False,0,0.5733333333333334,0.3692979181920098,24.0,22.049999999999997,-1.9500000000000028
217,False,16,1,-10,1.0,-10,3,0.6,-21,0,1,False,0,0.5499999999999999,0.3759432581299116,-10.0,-6.6000000000000005,3.3999999999999995
218,True,16,5,15,0.2,-16,-10,1.0,-10,0,1,False,0,0.4625,0.3774917217635375,-9.8,-10.0,-0.1999999999999993
219,False,16,1,-9,1.0,-9,9,0.05,-10,0,1,True,0,0.7000000000000001,0.3183289703016886,-9.0,-9.05,-0.05000000000000071
219,True,18,2,-9,1.0,-9,9,0.05,-10,0,1,True,0,0.8666666666666667,0.2566755791678991,-9.0,-9.05,-0.05000000000000071
220,True,16,3,60,0.25,-31,109,0.1,-18,0,1,False,0,0.425,0.3714835124201341,-8.25,-5.299999999999999,2.950000000000001
221,True,19,3,15,0.95,-45,12,1.0,12,1,4,True,0,0.6526315789473685,0.4046513191112561,11.999999999999998,12.0,1.7763568394002505e-15
226,True,16,4,90,0.4,-35,107,0.2,-5,1,4,False,0,0.425,0.3,15.0,17.400000000000002,2.400000000000002
227,False,16,1,16,0.25,15,102,0.4,-48,0,1,False,0,0.1875,0.2680174123696692,15.25,12.000000000000007,-3.249999999999993
228,False,16,1,26,1.0,26,38,0.01,28,1,8,False,0,0.8,0.3098386676965933,26.0,28.099999999999998,2.099999999999998
229,False,16,1,-1,1.0,-1,36,0.25,-9,3,5,False,0,0.6,0.3577708763999663,-1.0,2.25,3.25
230,False,16,1,78,0.2,-28,41,0.01,-6,1,2,False,0,0.5875,0.3537890143385838,-6.800000000000001,-5.529999999999999,1.2700000000000014
231,True,16,4,5,0.25,1,2,1.0,2,1,2,False,0,0.6,0.3577708763999663,2.0,2.0,0.0
232,False,16,1,27,0.4,27,75,0.5,-24,0,1,False,0,0.25,0.3055050463303893,27.0,25.5,-1.5
232,True,15,5,27,0.4,27,75,0.5,-24,0,1,False,0,0.3733333333333333,0.3534860406754147,27.0,25.5,-1.5
233,False,16,1,-1,1.0,-1,-1,1.0,-1,3,2,False,0,0.6125,0.4224926034855521,-1.0,-1.0,0.0
233,True,15,2,-1,1.0,-1,-1,1.0,-1,3,2,False,0,0.52,0.3277629805645711,-1.0,-1.0,0.0
235,True,18,2,4,1.0,4,65,0.2,-11,0,1,False,0,0.2666666666666667,0.3819454842528923,4.0,4.199999999999999,0.1999999999999993
236,False,16,1,26,1.0,26,29,0.4,23,0,1,False,0,0.3375,0.4240676046732801,26.0,25.4,-0.6000000000000014
236,True,16,2,26,1.0,26,29,0.4,23,0,1,False,0,0.725,0.443471156521669,26.0,25.4,-0.6000000000000014
238,False,16,1,-6,1.0,-6,-3,0.99,-15,0,1,True,0,0.2625,0.25,-6.0,-3.12,2.88
238,True,17,5,-6,1.0,-6,-3,0.99,-15,0,1,True,0,0.5294117647058824,0.2910427500435996,-6.0,-3.12,2.88
239,True,17,3,14,1.0,14,18,0.6,9,1,2,False,0,0.6823529411764706,0.4126670784628437,14.0,14.399999999999999,0.3999999999999986
243,True,17,5,16,1.0,16,18,0.8,6,0,1,False,0,0.3529411764705882,0.4501633690378744,16.0,15.6,-0.40000000000000036
244,True,20,4,15,0.2,-5,88,0.1,-14,1,8,True,0,0.77,0.2921787484616764,-1.0,-3.799999999999999,-2.799999999999999
247,True,17,5,8,0.6,-2,92,0.01,6,0,1,False,1,0.8117647058823529,0.3638034375544995,4.0,6.859999999999999,2.8599999999999994
248,True,16,3,37,0.5,-23,7,1.0,7,1,4,False,0,0.5249999999999999,0.2909753712372692,7.0,7.0,0.0
250,True,19,4,-1,1.0,-1,77,0.1,-10,1,6,False,0,0.6105263157894738,0.4026229789243216,-1.0,-1.2999999999999998,-0.2999999999999998
251,False,16,1,68,0.25,0,17,1.0,17,0,1,False,0,0.7749999999999999,0.2816617356570348,17.0,17.0,0.0
251,True,15,4,68,0.25,0,17,1.0,17,0,1,False,0,0.7466666666666666,0.3888934240098375,17.0,17.0,0.0
252,False,16,1,-10,1.0,-10,57,0.1,-17,3,3,False,0,0.8125,0.3222318006239194,-10.0,-9.600000000000001,0.3999999999999986
254,True,18,2,109,0.25,-24,13,0.95,-50,1,2,False,0,0.6111111111111109,0.3529520695486751,9.25,9.849999999999998,0.5999999999999979
255,False,16,1,58,0.01,1,27,0.1,0,1,4,False,0,0.4,0.3577708763999663,1.5699999999999998,2.7,1.1300000000000003
256,True,18,5,7,1.0,7,35,0.05,2,3,6,False,0,0.5111111111111111,0.3894020890135344,7.0,3.65,-3.35
258,False,16,1,30,0.25,-13,46,0.05,-3,0,1,False,1,0.5625,0.3442382895611701,-2.25,-0.5499999999999994,1.7000000000000006
262,False,16,1,8,1.0,8,19,0.25,1,1,6,False,0,0.3,0.3577708763999663,8.0,5.5,-2.5
262,True,15,5,8,1.0,8,19,0.25,1,1,6,False,0,0.5333333333333333,0.4186144947778269,8.0,5.5,-2.5
263,True,17,5,50,0.01,15,17,0.6,5,1,4,False,0,0.3176470588235294,0.3609627649038871,15.35,12.2,-3.1500000000000004
264,True,20,5,35,0.5,5,29,0.6,8,3,3,True,0,0.48,0.3968295404963274,20.0,20.599999999999998,0.5999999999999979
266,False,16,1,8,0.75,-12,3,1.0,3,0,1,False,0,0.475,0.3991657967979388,3.0,3.0,0.0
266,True,15,3,8,0.75,-12,3,1.0,3,0,1,False,0,0.3333333333333333,0.3598941643369749,3.0,3.0,0.0
269,True,17,4,6,0.2,-4,2,0.4,-7,1,8,False,1,0.4823529411764706,0.4065637928382935,-2.0,-3.4000000000000004,-1.4000000000000004
271,False,16,1,24,1.0,24,34,0.01,25,1,6,False,0,0.8875000000000001,0.2825479310370779,24.0,25.09,1.0899999999999999
272,True,17,5,5,1.0,5,27,0.5,-18,0,1,False,0,0.4588235294117647,0.4047511944537839,5.0,4.5,-0.5
273,False,16,1,15,1.0,15,58,0.6,-49,1,8,False,0,0.45,0.4098780306383839,15.0,15.199999999999996,0.19999999999999574
273,True,15,4,15,1.0,15,58,0.6,-49,1,8,False,0,0.6133333333333334,0.3739111175259755,15.0,15.199999999999996,0.19999999999999574
274,True,16,2,89,0.2,6,66,0.2,11,3,6,False,0,0.3875,0.3757215280851853,22.6,22.0,-0.6000000000000014
276,True,17,4,1,0.9,1,50,0.2,-12,1,8,False,0,0.411764705882353,0.3966773766885006,1.0,0.3999999999999986,-0.6000000000000014
277,False,17,1,29,0.99,11,46,0.4,21,2,2,False,0,0.6352941176470589,0.362182924208521,28.82,31.0,2.1799999999999997
277,True,16,2,29,0.99,11,46,0.4,21,2,2,False,0,0.5625000000000001,0.3879432948254165,28.82,31.0,2.1799999999999997
278,True,16,2,25,0.95,5,45,0.05,22,0,1,True,0,0.475,0.3642343567906062,24.0,23.15,-0.8500000000000014
279,False,17,1,16,1.0,16,16,0.95,-6,0,1,False,0,0.2352941176470588,0.362182924208521,16.0,14.899999999999999,-1.1000000000000014
281,True,16,3,23,1.0,23,39,0.2,21,1,8,False,0,0.5874999999999999,0.4410215414239989,23.0,24.6,1.6000000000000014
286,True,16,3,38,0.4,-9,9,0.9,-10,2,3,False,0,0.55,0.3614784456460256,9.8,7.1,-2.700000000000001
287,True,16,4,6,0.25,-15,-10,1.0,-10,2,6,False,0,0.5249999999999999,0.4312771730569565,-9.75,-10.0,-0.25
289,True,16,3,19,1.0,19,19,1.0,19,3,2,False,0,0.6875,0.4440345331915825,19.0,19.0,0.0
290,True,16,2,28,0.8,25,41,0.01,26,2,6,False,0,0.775,0.3255764119219941,27.400000000000002,26.15,-1.2500000000000036
293,True,18,3,32,0.1,26,88,0.05,20,2,2,True,0,0.7222222222222222,0.3078493817275996,26.6,23.4,-3.200000000000003
299,False,15,1,19,0.9,18,16,0.99,-20,0,1,True,0,0.1866666666666666,0.3159264531651691,18.900000000000002,15.64,-3.2600000000000016
299,True,16,2,19,0.9,18,16,0.99,-20,0,1,True,0,0.1624999999999999,0.2446085307860977,18.900000000000002,15.64,-3.2600000000000016
300,True,16,5,8,1.0,8,77,0.2,-13,1,4,False,0,0.3875,0.3222318006239194,8.0,5.0,-3.0
301,True,19,5,-4,0.8,-9,63,0.2,-26,2,4,True,-1,0.6631578947368421,0.2985344318793794,-5.0,-8.2,-3.1999999999999993
302,True,33,5,-1,1.0,-1,1,0.75,-18,0,1,False,0,0.4787878787878788,0.3533390508399614,-1.0,-3.75,-2.75
303,True,18,5,36,0.5,22,41,0.25,29,1,4,True,0,0.6333333333333333,0.3646109933485113,29.0,32.0,3.0
306,False,15,1,8,1.0,8,10,0.99,7,0,1,False,0,0.7866666666666667,0.3502380143083653,8.0,9.97,1.9700000000000006
306,True,16,4,8,1.0,8,10,0.99,7,0,1,False,0,0.8250000000000001,0.3415650255319866,8.0,9.97,1.9700000000000006
308,False,15,1,11,1.0,11,79,0.01,10,0,1,False,0,0.4266666666666667,0.439913411393435,11.0,10.690000000000001,-0.3099999999999987
308,True,16,5,11,1.0,11,79,0.01,10,0,1,False,0,0.65,0.4412104562073146,11.0,10.690000000000001,-0.3099999999999987
309,True,16,3,9,1.0,9,9,0.5,5,0,1,True,0,0.2,0.3011090610836324,9.0,7.0,-2.0
312,True,17,5,16,1.0,16,46,0.05,18,0,1,False,0,0.9294117647058824,0.1571810495986751,16.0,19.4,3.3999999999999986
313,False,16,1,26,1.0,26,29,0.1,26,0,1,False,0,0.55,0.4351245032554858,26.0,26.300000000000004,0.30000000000000426
314,False,16,1,9,0.2,-11,-9,0.99,-10,0,1,False,0,0.275,0.3642343567906062,-7.000000000000001,-9.01,-2.009999999999999
