bRate,A,B
0.775,"[[0.9, -8.0], [0.099999999999999, -27.0]]","[[0.75, -40.0], [0.03125, 62.5], [0.09375000000000001, 63.5], [0.09375000000000001, 64.5], [0.03125, 65.5]]"
0.4933333333333334,"[[1.0, 22.0], [0.0, 22.0]]","[[0.5, 13.0], [0.5, 32.0]]"
0.4933333333333334,"[[1.0, 1.0], [0.0, 1.0]]","[[0.8, -12.0], [0.2, 72.0]]"
0.52,"[[0.25, 27.0], [0.75, 15.0]]","[[0.6000000000000001, -20.0], [0.0125, 85.5], [0.0625, 86.5], [0.125, 87.5], [0.125, 88.5], [0.0625, 89.5], [0.0125, 90.5]]"
0.1375,"[[0.1, 7.0], [0.9, 4.0]]","[[0.4, 1.0], [0.075, -0.5], [0.224999999999999, 0.5], [0.224999999999999, 1.5], [0.075, 2.5]]"
0.04,"[[1.0, 27.0], [0.0, 27.0]]","[[0.5, 11.0], [0.25, 23.5], [0.25, 24.5]]"
0.675,"[[0.5, 33.0], [0.5, -15.0]]","[[0.4, 4.0], [0.30000000000000004, 14.0], [0.15, 16.0], [0.075, 20.0], [0.07500000000000001, 28.0]]"
0.5444444444444445,"[[1.0, -1.0], [0.0, -1.0]]","[[0.8, -5.0], [0.2, 23.0]]"
0.2941176470588236,"[[1.0, -9.0], [0.0, -9.0]]","[[0.5, -20.0], [0.25, -4.5], [0.25, -3.5]]"
0.8666666666666667,"[[1.0, -8.0], [0.0, -8.0]]","[[0.9500000000000001, -6.0], [0.05, 24.0]]"
0.275,"[[0.5, 14.0], [0.5, -34.0]]","[[0.9, -20.0], [0.1, 22.0]]"
0.96,"[[1.0, 13.0], [0.0, 13.0]]","[[0.5, 15.0], [0.015625, 20.5], [0.078125, 21.5], [0.15625, 22.5], [0.15625, 23.5], [0.078125, 24.5], [0.015625, 25.5]]"
0.5882352941176471,"[[1.0, 2.0], [0.0, 2.0]]","[[0.8, -18.0], [0.1, 64.0], [0.05, 62.0], [0.025, 58.0], [0.0125, 50.0], [0.00625, 34.0], [0.006249999999999, 2.0]]"
0.8,"[[0.99, -5.0], [0.01, -13.0]]","[[0.25, -44.0], [0.09375000000000001, 5.5], [0.28125, 6.5], [0.28125, 7.5], [0.09375000000000001, 8.5]]"
0.2533333333333333,"[[0.5, 29.0], [0.5, -31.0]]","[[0.8, -14.0], [0.2, 39.0]]"
0.6736842105263158,"[[1.0, -10.0], [0.0, -10.0]]","[[0.75, -28.0], [0.0078125, 3.5], [0.0390625, 4.5], [0.078125, 5.5], [0.078125, 6.5], [0.0390625, 7.5], [0.0078125, 8.5]]"
0.4800000000000001,"[[0.25, 42.0], [0.75, 26.0]]","[[0.8, 13.0], [0.2, 97.0]]"
0.4666666666666667,"[[1.0, -9.0], [0.0, -9.0]]","[[0.99, -16.0], [0.005, 52.0], [0.005, 54.0]]"
0.8533333333333334,"[[0.05, 31.0], [0.9500000000000001, 10.0]]","[[0.099999999999999, 17.0], [0.45, 16.5], [0.45, 17.5]]"
0.5894736842105263,"[[1.0, -5.0], [0.0, -5.0]]","[[0.5, -8.0], [0.25, -6.0], [0.125, -2.0], [0.125, 6.0]]"
0.175,"[[1.0, -2.0], [0.0, -2.0]]","[[0.099999999999999, -35.0], [0.9, -4.0]]"
0.5888888888888889,"[[0.6000000000000001, 35.0], [0.4, -17.0]]","[[0.9500000000000001, 12.0], [0.025, 18.5], [0.025, 19.5]]"
0.4875,"[[0.6000000000000001, 7.0], [0.4, -18.0]]","[[0.9, -3.0], [0.1, 60.0]]"
0.4666666666666666,"[[1.0, 5.0], [0.0, 5.0]]","[[0.6000000000000001, 0.0], [0.4, 20.0]]"
0.35,"[[0.4, 27.0], [0.6000000000000001, -6.0]]","[[0.75, -7.0], [0.125, 51.5], [0.125, 52.5]]"
0.3411764705882353,"[[1.0, 18.0], [0.0, 18.0]]","[[0.75, -10.0], [0.25, 88.0]]"
0.7058823529411766,"[[0.4, 11.0], [0.6000000000000001, 8.0]]","[[0.5, 5.0], [0.5, 27.0]]"
0.1466666666666666,"[[0.8, 9.0], [0.199999999999999, 1.0]]","[[0.9, 0.0], [0.1, 20.0]]"
0.3733333333333333,"[[0.01, 50.0], [0.99, 15.0]]","[[0.4, -2.0], [0.30000000000000004, 24.5], [0.30000000000000004, 25.5]]"
0.5444444444444445,"[[0.1, 56.0], [0.9, 5.0]]","[[0.75, 1.0], [0.25, 44.0]]"
0.5466666666666666,"[[0.5, 44.0], [0.5, 0.0]]","[[1.0, 22.0]]"
0.2125,"[[1.0, 11.0], [0.0, 11.0]]","[[0.05, 7.0], [0.0074218750000000005, 5.5], [0.051953124999999004, 6.5], [0.15585937500000002, 7.5], [0.259765625, 8.5], [0.259765625, 9.5], [0.15585937500000002, 10.5], [0.051953124999999004, 11.5], [0.0074218750000000005, 12.5]]"
0.2875,"[[1.0, 18.0], [0.0, 18.0]]","[[0.199999999999999, -16.0], [0.8, 24.0]]"
0.45,"[[1.0, 24.0], [0.0, 24.0]]","[[0.5, -5.0], [0.5, 49.0]]"
0.4222222222222223,"[[1.0, 17.0], [0.0, 17.0]]","[[0.8, 4.0], [0.00625, 39.5], [0.03125, 40.5], [0.0625, 41.5], [0.0625, 42.5], [0.03125, 43.5], [0.00625, 44.5]]"
0.6941176470588235,"[[0.4, 11.0], [0.6000000000000001, -6.0]]","[[0.4, -50.0], [0.6000000000000001, 41.0]]"
0.5625,"[[0.25, 55.0], [0.75, -1.0]]","[[0.75, -23.0], [0.001953125, 112.5], [0.013671875, 113.5], [0.041015625, 114.5], [0.068359375, 115.5], [0.068359375, 116.5], [0.041015625, 117.5], [0.013671875, 118.5], [0.001953125, 119.5]]"
0.4,"[[1.0, 11.0], [0.0, 11.0]]","[[0.9500000000000001, 4.0], [0.05, 53.0]]"
0.6,"[[1.0, 6.0], [0.0, 6.0]]","[[0.25, -16.0], [0.75, 22.0]]"
0.1125,"[[0.9500000000000001, 23.0], [0.05, 3.0]]","[[0.6000000000000001, 14.0], [0.4, 25.0]]"
0.8500000000000002,"[[1.0, -9.0], [0.0, -9.0]]","[[0.01, -17.0], [0.99, -2.0]]"
0.15,"[[1.0, 17.0], [0.0, 17.0]]","[[0.6000000000000001, 9.0], [0.2, 14.0], [0.1, 12.0], [0.099999999999999, 8.0]]"
0.7875,"[[1.0, -2.0], [0.0, -2.0]]","[[0.6000000000000001, 4.0], [0.2, 12.0], [0.1, 10.0], [0.05, 6.0], [0.025, -2.0], [0.0125, -18.0], [0.012499999999999001, -50.0]]"
0.4125,"[[1.0, 11.0], [0.0, 11.0]]","[[0.75, 1.0], [0.25, 35.0]]"
0.4117647058823529,"[[0.75, 43.0], [0.25, -16.0]]","[[0.6000000000000001, 4.0], [0.0125, 34.5], [0.0625, 35.5], [0.125, 36.5], [0.125, 37.5], [0.0625, 38.5], [0.0125, 39.5]]"
0.6933333333333334,"[[1.0, 14.0], [0.0, 14.0]]","[[0.5, 1.0], [0.5, 31.0]]"
0.5666666666666668,"[[0.6000000000000001, 60.0], [0.4, -23.0]]","[[0.9, 31.0], [0.00078125, 36.5], [0.0054687500000000005, 37.5], [0.01640625, 38.5], [0.02734375, 39.5], [0.02734375, 40.5], [0.01640625, 41.5], [0.0054687500000000005, 42.5], [0.00078125, 43.5]]"
0.475,"[[1.0, 6.0], [0.0, 6.0]]","[[0.6000000000000001, 1.0], [0.4, 13.0]]"
0.5555555555555556,"[[1.0, 24.0], [0.0, 24.0]]","[[0.25, -6.0], [0.75, 33.0]]"
0.5733333333333334,"[[0.25, 88.0], [0.75, -41.0]]","[[0.25, -35.0], [0.0234375, -8.5], [0.1171875, -7.5], [0.234375, -6.5], [0.234375, -5.5], [0.1171875, -4.5], [0.0234375, -3.5]]"
0.5625,"[[1.0, 6.0], [0.0, 6.0]]","[[0.4, -40.0], [0.018750000000000003, 21.5], [0.09375000000000001, 22.5], [0.1875, 23.5], [0.1875, 24.5], [0.09375000000000001, 25.5], [0.018750000000000003, 26.5]]"
0.4352941176470588,"[[1.0, 19.0], [0.0, 19.0]]","[[0.01, 5.0], [0.12375000000000001, 17.5], [0.371249999999999, 18.5], [0.371249999999999, 19.5], [0.12375000000000001, 20.5]]"
0.6749999999999999,"[[0.1, 6.0], [0.9, 0.0]]","[[0.5, -10.0], [0.5, 17.0]]"
0.4,"[[1.0, -1.0], [0.0, -1.0]]","[[0.9, -16.0], [0.00078125, 53.5], [0.0054687500000000005, 54.5], [0.01640625, 55.5], [0.02734375, 56.5], [0.02734375, 57.5], [0.01640625, 58.5], [0.0054687500000000005, 59.5], [0.00078125, 60.5]]"
0.8625,"[[1.0, 5.0], [0.0, 5.0]]","[[0.9500000000000001, 8.0], [0.025, 17.0], [0.0125, 19.0], [0.00625, 23.0], [0.0031249999999999997, 31.0], [0.0015624999999999999, 47.0], [0.0015625, 79.0]]"
0.5764705882352942,"[[1.0, 26.0], [0.0, 26.0]]","[[0.75, 9.0], [0.03125, 47.5], [0.09375000000000001, 48.5], [0.09375000000000001, 49.5], [0.03125, 50.5]]"
0.8941176470588235,"[[1.0, -8.0], [0.0, -8.0]]","[[0.99, -6.0], [0.01, 11.0]]"
0.3733333333333333,"[[0.25, 63.0], [0.75, 3.0]]","[[0.199999999999999, 12.0], [0.8, 19.0]]"
0.8266666666666667,"[[0.1, 69.0], [0.9, 13.0]]","[[0.75, 19.0], [0.125, 36.0], [0.0625, 38.0], [0.03125, 42.0], [0.015625, 50.0], [0.015625, 66.0]]"
0.5882352941176472,"[[0.01, 25.0], [0.99, -3.0]]","[[0.9, -5.0], [0.05, 44.5], [0.05, 45.5]]"
0.6375000000000001,"[[1.0, 25.0], [0.0, 25.0]]","[[0.199999999999999, -22.0], [0.8, 42.0]]"
0.3375,"[[1.0, 6.0], [0.0, 6.0]]","[[0.99, 2.0], [0.005, 76.5], [0.005, 77.5]]"
0.9882352941176472,"[[1.0, -3.0], [0.0, -3.0]]","[[0.99, 1.0], [0.01, 31.0]]"
0.5333333333333333,"[[0.4, 31.0], [0.6000000000000001, 4.0]]","[[0.5, 20.0], [0.25, 18.0], [0.125, 14.0], [0.0625, 6.0], [0.03125, -10.0], [0.03125, -42.0]]"
0.7066666666666668,"[[1.0, 6.0], [0.0, 6.0]]","[[0.199999999999999, -13.0], [0.8, 23.0]]"
0.2941176470588235,"[[0.8, 32.0], [0.199999999999999, -34.0]]","[[0.8, 9.0], [0.2, 17.0]]"
0.7625,"[[1.0, -2.0], [0.0, -2.0]]","[[0.25, -4.0], [0.75, -1.0]]"
0.8526315789473684,"[[1.0, 29.0], [0.0, 29.0]]","[[0.99, 36.0], [0.005, 110.0], [0.005, 112.0]]"
0.8933333333333333,"[[1.0, 7.0], [0.0, 7.0]]","[[0.99, 9.0], [7.8125e-05, 18.5], [0.000546875, 19.5], [0.0016406250000000002, 20.5], [0.0027343750000000003, 21.5], [0.0027343750000000003, 22.5], [0.0016406250000000002, 23.5], [0.000546875, 24.5], [7.8125e-05, 25.5]]"
0.2555555555555555,"[[0.2, 29.0], [0.8, -6.0]]","[[0.199999999999999, -6.0], [0.4, -2.5], [0.4, -1.5]]"
0.7733333333333334,"[[0.6000000000000001, 21.0], [0.4, -11.0]]","[[0.25, -23.0], [0.375, 23.0], [0.1875, 21.0], [0.09375000000000001, 17.0], [0.09375000000000001, 9.0]]"
0.7777777777777778,"[[1.0, -4.0], [0.0, -4.0]]","[[0.5, -48.0], [0.0625, 41.5], [0.1875, 42.5], [0.1875, 43.5], [0.0625, 44.5]]"
0.7625000000000001,"[[0.1, 98.0], [0.9, -6.0]]","[[0.5, 3.5], [0.5, 4.5]]"
0.3875000000000001,"[[0.01, 10.0], [0.99, -4.0]]","[[0.75, -35.0], [0.125, 75.0], [0.0625, 73.0], [0.03125, 69.0], [0.03125, 61.0]]"
0.45,"[[0.25, 2.0], [0.75, -10.0]]","[[0.99, -10.0], [0.005, 29.0], [0.0025, 31.0], [0.00125, 35.0], [0.000625, 43.0], [0.0003125, 59.0], [0.00015625, 91.0], [0.00015625, 155.0]]"
0.24,"[[0.8, -9.0], [0.199999999999999, -15.0]]","[[0.125, -11.5], [0.375, -10.5], [0.375, -9.5], [0.125, -8.5]]"
0.4875,"[[1.0, 27.0], [0.0, 27.0]]","[[0.5, -9.0], [0.25, 72.0], [0.125, 70.0], [0.125, 66.0]]"
0.9125,"[[1.0, 22.0], [0.0, 22.0]]","[[0.99, 27.0], [0.00125, 70.5], [0.0037500000000000003, 71.5], [0.0037500000000000003, 72.5], [0.00125, 73.5]]"
0.4,"[[0.4, 44.0], [0.6000000000000001, 14.0]]","[[1.0, 26.0]]"
0.875,"[[1.0, 15.0], [0.0, 15.0]]","[[0.25, 15.0], [0.375, 27.0], [0.1875, 25.0], [0.09375000000000001, 21.0], [0.09375000000000001, 13.0]]"
0.1375,"[[1.0, 0.0], [0.0, 0.0]]","[[0.9500000000000001, -5.0], [0.05, 20.0]]"
0.7882352941176469,"[[1.0, 8.0], [0.0, 8.0]]","[[0.099999999999999, 7.0], [0.9, 11.0]]"
0.5599999999999999,"[[0.8, 30.0], [0.199999999999999, -15.0]]","[[0.9500000000000001, 17.0], [0.025, 25.0], [0.0125, 23.0], [0.0125, 19.0]]"
0.3866666666666667,"[[1.0, 11.0], [0.0, 11.0]]","[[0.25, -37.0], [0.75, 33.0]]"
0.7555555555555556,"[[0.25, 88.0], [0.75, -24.0]]","[[0.75, -25.0], [0.125, 107.5], [0.125, 108.5]]"
0.535483870967742,"[[1.0, 22.0], [0.0, 22.0]]","[[0.8, 20.0], [0.1, 20.0], [0.05, 22.0], [0.025, 26.0], [0.024999999999999002, 34.0]]"
0.9375,"[[1.0, 25.0], [0.0, 25.0]]","[[0.9500000000000001, 30.0], [0.025, 35.0], [0.0125, 37.0], [0.00625, 41.0], [0.0031249999999999997, 49.0], [0.0015624999999999999, 65.0], [0.0015625, 97.0]]"
0.7125,"[[1.0, 25.0], [0.0, 25.0]]","[[0.199999999999999, 22.0], [0.025, 35.5], [0.125, 36.5], [0.25, 37.5], [0.25, 38.5], [0.125, 39.5], [0.025, 40.5]]"
0.0625,"[[1.0, 28.0], [0.0, 28.0]]","[[0.199999999999999, 16.0], [0.1, 21.5], [0.30000000000000004, 22.5], [0.30000000000000004, 23.5], [0.1, 24.5]]"
0.5625,"[[0.6000000000000001, 63.0], [0.4, -29.0]]","[[0.25, 22.0], [0.005859375, 28.5], [0.041015625, 29.5], [0.12304687500000001, 30.5], [0.205078125, 31.5], [0.205078125, 32.5], [0.12304687500000001, 33.5], [0.041015625, 34.5], [0.005859375, 35.5]]"
0.75,"[[1.0, 0.0], [0.0, 0.0]]","[[0.099999999999999, -13.0], [0.9, 3.0]]"
0.3625,"[[1.0, 22.0], [0.0, 22.0]]","[[0.6000000000000001, -8.0], [0.4, 56.0]]"
0.175,"[[1.0, -2.0], [0.0, -2.0]]","[[0.8, -10.0], [0.1, 10.0], [0.05, 8.0], [0.025, 4.0], [0.0125, -4.0], [0.012499999999999001, -20.0]]"
0.525,"[[1.0, -1.0], [0.0, -1.0]]","[[0.9500000000000001, -3.0], [0.0015624999999999999, 20.5], [0.0078125, 21.5], [0.015625, 22.5], [0.015625, 23.5], [0.0078125, 24.5], [0.0015624999999999999, 25.5]]"
0.7,"[[1.0, -2.0], [0.0, -2.0]]","[[0.8, -20.0], [0.2, 87.0]]"
0.5411764705882353,"[[0.2, -1.0], [0.8, -2.0]]","[[0.0078125, -5.5], [0.0546875, -4.5], [0.1640625, -3.5], [0.2734375, -2.5], [0.2734375, -1.5], [0.1640625, -0.5], [0.0546875, 0.5], [0.0078125, 1.5]]"
0.275,"[[1.0, 27.0], [0.0, 27.0]]","[[0.75, 7.0], [0.25, 41.0]]"
0.7066666666666667,"[[1.0, -7.0], [0.0, -7.0]]","[[0.5, -32.0], [0.5, 24.0]]"
0.2375,"[[1.0, -4.0], [0.0, -4.0]]","[[0.9500000000000001, -8.0], [0.05, 27.0]]"
0.25,"[[0.5, 24.0], [0.5, 22.0]]","[[0.125, 21.5], [0.375, 22.5], [0.375, 23.5], [0.125, 24.5]]"
0.15,"[[1.0, -4.0], [0.0, -4.0]]","[[0.9500000000000001, -11.0], [0.05, 34.0]]"
0.275,"[[1.0, 17.0], [0.0, 17.0]]","[[0.199999999999999, -40.0], [0.4, 12.0], [0.2, 14.0], [0.1, 18.0], [0.05, 26.0], [0.025, 42.0], [0.024999999999999002, 74.0]]"
0.1733333333333333,"[[0.8, 27.0], [0.199999999999999, 1.0]]","[[0.199999999999999, 5.0], [0.8, 22.0]]"
0.2375,"[[1.0, 1.0], [0.0, 1.0]]","[[0.8, -14.0], [0.2, 59.0]]"
0.6375000000000001,"[[1.0, 21.0], [0.0, 21.0]]","[[0.6000000000000001, 18.0], [0.0031249999999999997, 53.5], [0.021875000000000002, 54.5], [0.065625, 55.5], [0.109375, 56.5], [0.109375, 57.5], [0.065625, 58.5], [0.021875000000000002, 59.5], [0.0031249999999999997, 60.5]]"
0.9125,"[[1.0, -6.0], [0.0, -6.0]]","[[0.01, -4.0], [0.99, 2.0]]"
0.775,"[[1.0, 11.0], [0.0, 11.0]]","[[0.9500000000000001, 15.0], [0.00625, 19.5], [0.018750000000000003, 20.5], [0.018750000000000003, 21.5], [0.00625, 22.5]]"
0.6,"[[1.0, 7.0], [0.0, 7.0]]","[[0.4, -32.0], [0.0046875, 46.5], [0.0328125, 47.5], [0.0984375, 48.5], [0.1640625, 49.5], [0.1640625, 50.5], [0.0984375, 51.5], [0.0328125, 52.5], [0.0046875, 53.5]]"
0.6375,"[[1.0, 12.0], [0.0, 12.0]]","[[0.75, -7.0], [0.25, 89.0]]"
0.4,"[[0.8, 17.0], [0.199999999999999, 12.0]]","[[0.6000000000000001, -14.0], [0.2, 57.0], [0.199999999999999, 55.0]]"
0.5249999999999999,"[[1.0, 18.0], [0.0, 18.0]]","[[0.099999999999999, -26.0], [0.1125, 23.5], [0.3375, 24.5], [0.3375, 25.5], [0.1125, 26.5]]"
0.3875,"[[0.75, 12.0], [0.25, 5.0]]","[[0.199999999999999, -14.0], [0.8, 22.0]]"
0.825,"[[0.4, 12.0], [0.6000000000000001, -20.0]]","[[0.99, 4.0], [0.005, 28.0], [0.0025, 30.0], [0.0025, 34.0]]"
0.625,"[[0.4, 27.0], [0.6000000000000001, 17.0]]","[[1.0, 21.0]]"
0.5375,"[[0.6000000000000001, 7.0], [0.4, -6.0]]","[[0.75, -27.0], [0.25, 84.0]]"
0.4666666666666667,"[[1.0, 16.0], [0.0, 16.0]]","[[0.8, 4.0], [0.2, 50.0]]"
0.625,"[[0.1, 27.0], [0.9, 11.0]]","[[0.9, 11.0], [0.05, 91.0], [0.025, 89.0], [0.0125, 85.0], [0.00625, 77.0], [0.006249999999999, 61.0]]"
0.6000000000000001,"[[1.0, 25.0], [0.0, 25.0]]","[[0.6000000000000001, 5.0], [0.2, 62.0], [0.1, 64.0], [0.05, 68.0], [0.049999999999999004, 76.0]]"
0.3875000000000001,"[[1.0, 18.0], [0.0, 18.0]]","[[0.8, 3.0], [0.1, 51.0], [0.05, 53.0], [0.049999999999999004, 57.0]]"
0.5733333333333334,"[[1.0, 24.0], [0.0, 24.0]]","[[0.05, -15.0], [0.47500000000000003, 18.0], [0.23750000000000002, 20.0], [0.11875000000000001, 24.0], [0.059375, 32.0], [0.0296875, 48.0], [0.014843750000000001, 80.0], [0.014843750000000001, 144.0]]"
0.925,"[[0.9, 6.0], [0.099999999999999, -34.0]]","[[0.9, 13.0], [0.0031249999999999997, 42.5], [0.015625, 43.5], [0.03125, 44.5], [0.03125, 45.5], [0.015625, 46.5], [0.0031249999999999997, 47.5]]"
0.15,"[[1.0, 12.0], [0.0, 12.0]]","[[0.099999999999999, 0.0], [0.9, 3.0]]"
0.4625,"[[0.2, 15.0], [0.8, -16.0]]","[[1.0, -10.0]]"
0.425,"[[0.25, 60.0], [0.75, -31.0]]","[[0.9, -18.0], [0.1, 109.0]]"
0.8941176470588236,"[[1.0, -1.0], [0.0, -1.0]]","[[0.9, 2.0], [0.1, 9.0]]"
0.1625,"[[1.0, 12.0], [0.0, 12.0]]","[[0.199999999999999, -18.0], [0.4, 7.5], [0.4, 8.5]]"
0.425,"[[0.4, 90.0], [0.6000000000000001, -35.0]]","[[0.8, -5.0], [0.025, 105.5], [0.07500000000000001, 106.5], [0.07500000000000001, 107.5], [0.025, 108.5]]"
0.6,"[[0.25, 5.0], [0.75, 1.0]]","[[0.5, 1.5], [0.5, 2.5]]"
0.3733333333333333,"[[0.4, 27.0], [0.6000000000000001, 27.0]]","[[0.5, -24.0], [0.5, 75.0]]"
0.52,"[[1.0, -1.0], [0.0, -1.0]]","[[0.5, 0.0], [0.5, -2.0]]"
0.6875000000000001,"[[0.1, 12.0], [0.9, 8.0]]","[[0.75, 14.0], [0.125, 8.0], [0.0625, 10.0], [0.03125, 14.0], [0.015625, 22.0], [0.0078125, 38.0], [0.00390625, 70.0], [0.00390625, 134.0]]"
0.2666666666666667,"[[1.0, 4.0], [0.0, 4.0]]","[[0.8, -11.0], [0.2, 65.0]]"
0.725,"[[1.0, 26.0], [0.0, 26.0]]","[[0.6000000000000001, 23.0], [0.4, 29.0]]"
0.6823529411764706,"[[1.0, 14.0], [0.0, 14.0]]","[[0.4, 9.0], [0.30000000000000004, 17.5], [0.30000000000000004, 18.5]]"
0.631578947368421,"[[0.25, 105.0], [0.75, 0.0]]","[[0.01, 29.0], [0.99, 32.0]]"
0.92,"[[0.8, 19.0], [0.199999999999999, 8.0]]","[[0.05, 6.0], [0.9500000000000001, 28.0]]"
0.4111111111111111,"[[0.2, 51.0], [0.8, 11.0]]","[[0.6000000000000001, -3.0], [0.4, 77.0]]"
0.3529411764705882,"[[1.0, 16.0], [0.0, 16.0]]","[[0.199999999999999, 6.0], [0.8, 18.0]]"
0.4875,"[[0.99, 8.0], [0.01, -25.0]]","[[0.75, -3.0], [0.125, 61.0], [0.0625, 59.0], [0.03125, 55.0], [0.03125, 47.0]]"
0.7222222222222222,"[[0.2, 52.0], [0.8, -24.0]]","[[0.6000000000000001, -25.0], [0.0031249999999999997, 32.5], [0.021875000000000002, 33.5], [0.065625, 34.5], [0.109375, 35.5], [0.109375, 36.5], [0.065625, 37.5], [0.021875000000000002, 38.5], [0.0031249999999999997, 39.5]]"
0.8117647058823529,"[[0.6000000000000001, 8.0], [0.4, -2.0]]","[[0.99, 6.0], [0.01, 92.0]]"
0.5249999999999999,"[[0.5, 37.0], [0.5, -23.0]]","[[0.125, 5.5], [0.375, 6.5], [0.375, 7.5], [0.125, 8.5]]"
0.25,"[[0.2, 51.0], [0.8, 17.0]]","[[0.01, 6.0], [0.12375000000000001, 14.5], [0.371249999999999, 15.5], [0.371249999999999, 16.5], [0.12375000000000001, 17.5]]"
0.6105263157894738,"[[1.0, -1.0], [0.0, -1.0]]","[[0.9, -10.0], [0.0031249999999999997, 74.5], [0.015625, 75.5], [0.03125, 76.5], [0.03125, 77.5], [0.015625, 78.5], [0.0031249999999999997, 79.5]]"
0.7466666666666666,"[[0.25, 68.0], [0.75, 0.0]]","[[1.0, 17.0]]"
0.0222222222222222,"[[1.0, 1.0], [0.0, 1.0]]","[[0.25, -8.0], [0.005859375, -10.5], [0.041015625, -9.5], [0.12304687500000001, -8.5], [0.205078125, -7.5], [0.205078125, -6.5], [0.12304687500000001, -5.5], [0.041015625, -4.5], [0.005859375, -3.5]]"
0.6111111111111109,"[[0.25, 109.0], [0.75, -24.0]]","[[0.05, -50.0], [0.47500000000000003, 12.5], [0.47500000000000003, 13.5]]"
0.5111111111111111,"[[1.0, 7.0], [0.0, 7.0]]","[[0.9500000000000001, 2.0], [0.025, 40.0], [0.0125, 38.0], [0.00625, 34.0], [0.0031249999999999997, 26.0], [0.0015624999999999999, 10.0], [0.0015625, -22.0]]"
0.7,"[[1.0, 15.0], [0.0, 15.0]]","[[0.9, 13.0], [0.05, 61.0], [0.025, 63.0], [0.0125, 67.0], [0.00625, 75.0], [0.0031249999999999997, 91.0], [0.0015624999999999999, 123.0], [0.001562499999999, 187.0]]"
0.4909090909090911,"[[1.0, 28.0], [0.0, 28.0]]","[[0.099999999999999, -35.0], [0.9, 39.0]]"
0.5866666666666667,"[[1.0, 6.0], [0.0, 6.0]]","[[0.25, -35.0], [0.75, 25.0]]"
0.5333333333333333,"[[1.0, 8.0], [0.0, 8.0]]","[[0.75, 1.0], [0.0078125, 16.5], [0.0390625, 17.5], [0.078125, 18.5], [0.078125, 19.5], [0.0390625, 20.5], [0.0078125, 21.5]]"
0.3176470588235294,"[[0.01, 50.0], [0.99, 15.0]]","[[0.4, 5.0], [0.075, 15.5], [0.224999999999999, 16.5], [0.224999999999999, 17.5], [0.075, 18.5]]"
0.3333333333333333,"[[0.75, 8.0], [0.25, -12.0]]","[[1.0, 3.0]]"
